Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
2,4,20,Female,Control,3.714285714,A,55928
2,4,21,Male,RNAi,1.142857143,A,55928
2,4,22,Female,Control,1.428571429,A,55928
2,4,23,Male,Control,0.285714286,A,55928
2,4,24,Female,RNAi,0.571428571,A,55928
2,4,25,Female,Control,3.428571429,A,55928
2,4,26,Female,RNAi,6,A,55928
2,4,27,Male,Control,0.571428571,A,55928
2,4,28,Male,RNAi,2.857142857,A,55928
2,4,29,Male,Control,2.285714286,A,55928
2,4,30,Male,RNAi,1.142857143,A,55928
2,4,31,Female,Control,4.285714286,A,55928
2,4,32,Female,RNAi,6,A,55928
2,4,33,Male,Control,1.714285714,A,55928
2,4,34,Female,RNAi,2.571428571,A,55928
2,4,35,Male,RNAi,0.285714286,A,55928
2,4,36,Female,Control,0.857142857,A,55928
2,4,37,Female,Control,1.428571429,A,55928
2,4,38,Male,RNAi,2,A,55928
2,4,39,Female,RNAi,1.142857143,A,55928
2,4,40,Male,Control,1.714285714,A,55928
2,4,41,Female,RNAi,3.714285714,A,55928
2,4,42,Female,Control,6,A,55928
2,4,43,Male,RNAi,0.857142857,A,55928
2,4,44,Male,Control,2.857142857,A,55928
2,4,45,Male,Control,0.571428571,A,55928
2,4,46,Male,RNAi,1.142857143,A,55928
2,4,47,Female,RNAi,4.571428571,A,55928
2,4,48,Female,Control,2.571428571,A,55928
2,5,1,Female,Control,1.428571429,A,55928
2,5,2,Female,RNAi,4.571428571,A,55928
2,5,3,Male,Control,1.428571429,A,55928
2,5,4,Male,RNAi,0.857142857,A,55928
2,5,5,Male,RNAi,0.571428571,A,55928
2,5,6,Female,RNAi,6,A,55928
2,5,7,Male,Control,2.857142857,A,55928
2,5,8,Female,Control,0.857142857,A,55928
2,5,9,Male,Control,1.428571429,A,55928
2,5,10,Female,RNAi,2,A,55928
2,5,11,Male,RNAi,0.857142857,A,55928
2,5,12,Female,Control,1.142857143,A,55928
2,5,13,Female,Control,2,A,55928
2,5,14,Male,RNAi,2,A,55928
2,5,15,Female,RNAi,8,A,55928
2,5,16,Male,Control,1.142857143,A,55928
2,5,17,Female,RNAi,1.428571429,A,55928
2,5,18,Male,RNAi,1.142857143,A,55928
2,5,19,Male,Control,1.428571429,A,55928
2,5,20,Female,Control,8,A,55928
2,5,21,Male,RNAi,2.857142857,A,55928
2,5,22,Female,Control,2,A,55928
2,5,23,Male,Control,0.285714286,A,55928
2,5,24,Female,RNAi,0.857142857,A,55928
2,5,25,Female,Control,3.428571429,A,55928
2,5,26,Female,RNAi,6,A,55928
2,5,27,Male,Control,1.142857143,A,55928
2,5,28,Male,RNAi,1.142857143,A,55928
2,5,29,Male,Control,2,A,55928
2,5,30,Male,RNAi,0.857142857,A,55928
2,5,31,Female,Control,6,A,55928
2,5,32,Female,RNAi,2.571428571,A,55928
2,5,33,Male,Control,1.714285714,A,55928
2,5,34,Female,RNAi,2.857142857,A,55928
2,5,35,Male,RNAi,1.714285714,A,55928
2,5,36,Female,Control,0.857142857,A,55928
2,5,37,Female,Control,1.428571429,A,55928
2,5,38,Male,RNAi,1.714285714,A,55928
2,5,39,Female,RNAi,2,A,55928
2,5,40,Male,Control,4.571428571,A,55928
2,5,41,Female,RNAi,1.142857143,A,55928
2,5,42,Female,Control,3.428571429,A,55928
2,5,43,Male,RNAi,0.857142857,A,55928
2,5,44,Male,Control,0.285714286,A,55928
2,5,45,Male,Control,4.285714286,A,55928
2,5,46,Male,RNAi,1.714285714,A,55928
2,5,47,Female,RNAi,2,A,55928
2,5,48,Female,Control,2.571428571,A,55928
3,1,1,Male,RNAi,1.142857143,A,55928
3,1,2,Male,Control,3.428571429,A,55928
3,1,3,Female,Control,2.571428571,A,55928
3,1,4,Female,RNAi,3.428571429,A,55928
3,1,5,Female,RNAi,6,A,55928
3,1,6,Male,Control,0.857142857,A,55928
3,1,7,Male,RNAi,0.571428571,A,55928
3,1,8,Female,Control,2,A,55928
3,1,9,Male,RNAi,3.714285714,A,55928
3,1,10,Female,RNAi,2.285714286,A,55928
3,1,11,Male,Control,1.142857143,A,55928
3,1,12,Female,Control,2.571428571,A,55928
3,1,13,Female,RNAi,3.714285714,A,55928
3,1,14,Male,Control,0.857142857,A,55928
3,1,15,Male,RNAi,1.714285714,A,55928
3,1,16,Female,Control,0.571428571,A,55928
3,1,17,Male,Control,1.142857143,A,55928
3,1,18,Female,RNAi,2.857142857,A,55928
3,1,19,Female,Control,2,A,55928
3,1,20,Male,RNAi,0.857142857,A,55928
3,1,21,Female,Control,2.285714286,A,55928
3,1,22,Male,Control,0.571428571,A,55928
3,1,23,Male,RNAi,0.285714286,A,55928
3,1,24,Female,RNAi,3.428571429,A,55928
3,1,25,Female,RNAi,2.857142857,A,55928
3,1,26,Female,Control,1.714285714,A,55928
3,1,27,Male,RNAi,0.285714286,A,55928
3,1,28,Male,Control,1.142857143,A,55928
3,1,29,Male,Control,3.142857143,A,55928
3,1,30,Female,RNAi,1.428571429,A,55928
3,1,31,Female,Control,2.571428571,A,55928
3,1,32,Male,RNAi,1.142857143,A,55928
3,1,33,Female,RNAi,2.571428571,A,55928
3,1,34,Male,RNAi,1.142857143,A,55928
3,1,35,Female,Control,2,A,55928
3,1,36,Male,Control,2,A,55928
3,1,37,Female,RNAi,3.714285714,A,55928
3,1,38,Male,Control,0,A,55928
3,1,39,Male,RNAi,0.365079365,A,55928
3,1,40,Female,Control,1.142857143,A,55928
3,1,41,Female,RNAi,2,A,55928
3,1,42,Female,Control,2,A,55928
3,1,43,Male,Control,0.571428571,A,55928
3,1,44,Male,RNAi,6.968253968,A,55928
3,1,45,Female,Control,2,A,55928
3,1,46,Female,RNAi,2,A,55928
3,1,47,Male,RNAi,2,A,55928
3,1,48,Male,Control,0.571428571,A,55928
3,2,1,Male,RNAi,2.285714286,A,55928
3,2,2,Male,Control,1.428571429,A,55928
3,2,3,Female,Control,3.714285714,A,55928
3,2,4,Female,RNAi,2,A,55928
3,2,5,Female,RNAi,6,A,55928
3,2,6,Male,Control,1.142857143,A,55928
3,2,7,Male,RNAi,0.857142857,A,55928
